Table 1/2: Legal Demands,,,,,,,,,,,,,,,
Time period start,Country,Court Orders,Other legal demands,Combined requests,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
2019-01-01,France,5,347,352,NULL,NULL,NULL,0,0,408,1,35,0,0,157
2019-01-01,Germany,2,42,44,NULL,NULL,NULL,0,0,74,2,83,0,0,7
2019-01-01,Greece,1,4,5,NULL,NULL,NULL,0,0,6,0,0,0,0,4
2019-01-01,India,8,496,504,NULL,NULL,NULL,0,0,2484,73,241,0,0,578
2019-01-01,Indonesia,0,178,178,NULL,NULL,NULL,0,0,17003,0,0,0,0,2345
2019-01-01,Iran**,0,4,4,NULL,NULL,NULL,0,0,4,0,0,0,0,2
2019-01-01,Iraq,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2019-01-01,Ireland,2,11,13,NULL,NULL,NULL,0,0,132,0,0,0,0,7
2019-01-01,Israel,1,12,13,NULL,NULL,NULL,0,0,491,0,1,0,0,5
2019-01-01,Italy,1,6,7,NULL,NULL,NULL,0,0,8,0,0,0,0,1
2019-01-01,Japan,17,5127,5144,NULL,NULL,NULL,0,0,6273,4,197,0,0,3053
2019-01-01,Jordan,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2019-01-01,Kuwait,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,0
2019-01-01,Malawi,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,1
2019-01-01,Malaysia,0,13,13,NULL,NULL,NULL,0,0,23,0,0,0,0,6
2019-01-01,Mexico,3,19,22,NULL,NULL,NULL,0,0,33,0,0,0,0,10
2019-01-01,Mongolia,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2019-01-01,Nepal,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2019-01-01,Netherlands,0,1,1,NULL,NULL,NULL,0,0,12,0,0,0,0,11
2019-01-01,Oman,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2019-01-01,Pakistan,8,265,273,NULL,NULL,NULL,0,0,1798,0,0,0,0,234
2019-01-01,Panama,4,0,4,NULL,NULL,NULL,0,0,4,0,0,0,0,0
2019-01-01,Philippines,0,3,3,NULL,NULL,NULL,0,0,2,0,0,0,0,1
2019-01-01,Poland,0,10,10,NULL,NULL,NULL,0,0,12,0,0,0,0,10
2019-01-01,Qatar,0,4,4,NULL,NULL,NULL,0,0,5,0,0,0,0,4
2019-01-01,Russia,711,3099,3810,NULL,NULL,NULL,0,0,3809,7,1253,0,0,905
2019-01-01,Saudi Arabia,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,1
2019-01-01,Serbia,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,1
2019-01-01,Singapore,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,0
2019-01-01,South Africa,0,4,4,NULL,NULL,NULL,0,0,4,0,0,0,0,0
2019-01-01,South Korea,42,1628,1670,NULL,NULL,NULL,0,0,3046,0,1,0,0,2595
2019-01-01,Spain,1,4,5,NULL,NULL,NULL,0,0,10,0,4,0,0,1
2019-01-01,Switzerland,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2019-01-01,Turkey,388,5685,6073,NULL,NULL,NULL,0,0,8993,264,230,0,0,2536
2019-01-01,Ukraine,0,1,1,NULL,NULL,NULL,0,0,22,0,0,0,0,0
2019-01-01,United Arab Emirates,0,236,236,NULL,NULL,NULL,0,0,4869,0,0,0,0,3863
2019-01-01,United Kingdom,0,64,64,NULL,NULL,NULL,0,0,110,0,0,0,0,39
2019-01-01,United States,2,168,170,NULL,NULL,NULL,0,0,732,0,0,0,0,473
2019-01-01,Uruguay,0,1,1,NULL,NULL,NULL,0,0,4,0,0,0,0,3
2019-01-01,Worldwide,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0
2018-07-01,Argentina,2,1,3,NULL,NULL,NULL,0,0,115,0,0,0,0,24
2018-07-01,Australia,1,13,14,NULL,NULL,NULL,0,0,20,0,8,0,0,4
2018-07-01,Austria,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,0
2018-07-01,Brazil,92,27,119,NULL,NULL,NULL,0,0,512,1,142,0,0,35
2018-07-01,Bulgaria,0,1,1,NULL,NULL,NULL,0,0,7,0,0,0,0,3
2018-07-01,Canada,0,6,6,NULL,NULL,NULL,0,0,9,0,0,0,0,3
2018-07-01,Colombia,0,4,4,NULL,NULL,NULL,0,0,4,0,0,0,0,1
2018-07-01,Cyprus,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,1
2018-07-01,Czech Republic,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,1
2018-07-01,Denmark,0,4,4,NULL,NULL,NULL,0,0,5,0,0,0,0,3
2018-07-01,Dominican Republic,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2018-07-01,Ecuador,0,4,4,NULL,NULL,NULL,0,0,25,0,0,0,0,20
2018-07-01,France,0,110,110,NULL,NULL,NULL,0,0,126,1,6,0,0,58
2018-07-01,Germany,3,39,42,NULL,NULL,NULL,0,0,44,0,39,0,0,10
2018-07-01,Greece,0,1,1,NULL,NULL,NULL,0,0,2,0,0,0,0,0
2018-07-01,Hong Kong SAR,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,1
2018-07-01,India,10,657,667,NULL,NULL,NULL,0,0,2228,95,114,0,0,320
2018-07-01,Indonesia,0,327,327,NULL,NULL,NULL,0,0,3015,0,0,0,0,366
2018-07-01,Ireland,0,8,8,NULL,NULL,NULL,0,0,107,0,0,0,0,1
2018-07-01,Israel,0,2,2,NULL,NULL,NULL,0,0,3,0,0,0,0,2
2018-07-01,Italy,1,5,6,NULL,NULL,NULL,0,0,9,0,0,0,0,4
2018-07-01,Japan,16,663,679,NULL,NULL,NULL,0,0,1679,0,363,0,0,1187
2018-07-01,Kuwait,0,3,3,NULL,NULL,NULL,0,0,3,0,0,0,0,0
2018-07-01,Kyrgyzstan,4,15,19,NULL,NULL,NULL,0,0,37,0,0,0,0,8
2018-07-01,Macedonia,0,1,1,NULL,NULL,NULL,0,0,4,0,0,0,0,0
2018-07-01,Malaysia,0,8,8,NULL,NULL,NULL,0,0,10,0,0,0,0,1
2018-07-01,Mexico,2,16,18,NULL,NULL,NULL,0,0,22,0,0,0,0,8
2018-07-01,Nepal,0,3,3,NULL,NULL,NULL,0,0,3,0,0,0,0,3
2018-07-01,Netherlands,0,3,3,NULL,NULL,NULL,0,0,8,0,0,0,0,0
2018-07-01,Oman,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,1
